NEE,NEV,Count
ABC,ABC,60
ABC,ABC John McWethy,1
ABC,ABC News,11
ABC,Amarillo,1
ABC,Anderson Cooper,1
ABC,Antonio Mora,2
ABC,Baghdad,1
ABC,Barry Serafin,1
ABC,Bill Blakemore,2
ABC,Bill Redeker,3
ABC,Bob Jamieson,1
ABC,Bob Woodruff,1
ABC,Brazil,1
ABC,Brian Rooney,1
ABC,Brian Ross,1
ABC,California,1
ABC,Canada,1
ABC,Capitol Hill,1
ABC,Charlie Trie,1
ABC,Chris Wallace,1
ABC,Cokie Roberts,1
ABC,Cuba,1
ABC,Cục Hàng không Liên bang,1
ABC,David Ensor,3
ABC,Dean Reynolds,2
ABC,Deborah Amos,1
ABC,Denver,3
ABC,Havana,1
ABC,Hồng Kông,1
ABC,Jack Smith,1
ABC,Jackie Judd,6
ABC,Jane Clayson,2
ABC,Jeffrey Toobin,1
ABC,Jim Laurie,1
ABC,John Martin,2
ABC,John McKenzie,1
ABC,John McWethy,6
ABC,Karla Davis,1
ABC,Ken Kashiwahara,1
ABC,Ken Kashiwahara ABC,1
ABC,Lewinsky,1
ABC,Linda Douglass,1
ABC,Lisa Stark,1
ABC,Little Rock,1
ABC,London,3
ABC,Lầu Năm Góc,2
ABC,Maine,1
ABC,Miami,1
ABC,Michele Norris,1
ABC,Michelle Kwan,1
ABC,Mike Lee,3
ABC,Mike Von Fremd,1
ABC,Mike von Fremd,1
ABC,Monica Lewinsky,2
ABC,Montreal,3
ABC,Mort Dean,1
ABC,Mỹ,1
ABC,New Hampshire,1
ABC,New York,2
ABC,Nhà Trắng,4
ABC,Peter Jennings,3
ABC,Quebec,1
ABC,Rebecca Chase,2
ABC,Riverside,1
ABC,Robert Krulwich,2
ABC,Ron Claiborne,1
ABC,Sacramento,2
ABC,Sam,1
ABC,Sam Donaldson,8
ABC,Sheila MacVicar,1
ABC,Tara Lipinski,1
ABC,Terry Moran,2
ABC,Thành phố Oklahoma,1
ABC,Tom Foreman,2
ABC,Vermont,1
ABC,Washington,1
ABC,công ty ABC,1
ABC,thủ đô Iraq,1
ABC,viện bảo tàng quốc gia ABC,1
ABC Airlines,hãng hàng không ABC,1
ABC Bank,Ngân hàng ABC,2
ABC Company,ABC,2
ABC Company,Công ty ABC,1
ABC Company,Trần,1
ABC Corporation,Công ty ABC,1
ABC Department Store,ABC,1
ABC Museum,viện Bảo tàng ABC,1
ABC News,ABC News,89
ABC News,ABC News George Stephanopoulos,1
ABC News,ABC News rằng Lewinsky,1
ABC News,Aaron Brown,1
ABC News,Albuquerque,1
ABC News,Amarillo,1
ABC News,Anderson Cooper,2
ABC News,Antonio Mora,2
ABC News,Atlanta,2
ABC News,Barry Serafin,2
ABC News,Beth Nissen,1
ABC News,Betsy Stark,3
ABC News,Bill Blakemore,3
ABC News,Bill Redeker,3
ABC News,Birmingham,1
ABC News,Bob Woodruff,1
ABC News,Brian Rooney,1
ABC News,Bảy Ba,1
ABC News,California,1
ABC News,Canada,1
ABC News,Cleveland,1
ABC News,Clewiston,1
ABC News,Clinton,7
ABC News,Cuba,2
ABC News,Cục Hàng không Liên bang,1
ABC News,Dean Reynolds,2
ABC News,Deborah Amos,2
ABC News,FBI,1
ABC News,Florida,2
ABC News,Fort Lee,1
ABC News,Gaithersburg,1
ABC News,Gatesville,2
ABC News,George Stephanopoulos,1
ABC News,Gina Smith,1
ABC News,Havana,2
ABC News,Hồng Kông,2
ABC News,Indonesia,1
ABC News,Iran,1
ABC News,Jack Smith,1
ABC News,Jackie Judd,1
ABC News,Jane Clayson,3
ABC News,Jim Laurie,2
ABC News,John Cochran,1
ABC News,John Donvan,1
ABC News,John Martin,2
ABC News,John McWethy,8
ABC News,John Miller,1
ABC News,John Willemson,1
ABC News,Johnson,1
ABC News,JuJu Chang,1
ABC News,Karla Davis,2
ABC News,Ken Kashiwahara,3
ABC News,Lakeland,1
ABC News,Lewinsky,5
ABC News,Lewiston Maine,1
ABC News,Linda Douglass,1
ABC News,Lisa Salters,1
ABC News,Lisa Stark,3
ABC News,London,1
ABC News,Los Angeles,2
ABC News,Lầu Năm Góc,7
ABC News,Maryland,1
ABC News,Michel McQueen,3
ABC News,Michele Norris,3
ABC News,Mike Von Fremd,1
ABC News,Mike von Fremd,1
ABC News,Monica Lewinsky,1
ABC News,Montreal,3
ABC News,Morton Dean,3
ABC News,Mỹ,4
ABC News,Ned Potter,1
ABC News,New Haven,1
ABC News,New York,12
ABC News,Nhà Trắng,5
ABC News,Palm Springs,1
ABC News,Phó Tổng thống Al Gore,1
ABC News,Rebecca Chase,3
ABC News,Richard Gizbert,1
ABC News,Sacramento,3
ABC News,Sam Donaldson,1
ABC News,Santa Clara,1
ABC News,Starr,2
ABC News,Texas,2
ABC News,Thành phố Vatican,1
ABC News,Tim O'Brien,1
ABC News,Tin Tức ABC,1
ABC News,Tripp,1
ABC News,Trung Đông,1
ABC News,Ventura,1
ABC News,Vernon Jordan,1
ABC News,Washington,16
ABC News,Watergate,1
ABC News,Zurich,1
ABC News,bang New Jersey,1
ABC News,Đức Giáo Hoàng,1
ABC News World Headquarters,ABC News Trụ sở chính Thế giới,1
ABC News World Headquarters,Aaron Brown,1
ABC News World Headquarters,New York,1
ABC Trading Company,Công ty Thương mại ABC,1
ABC Trading Company,Thương mại ABC,1
ABC University,trường Đại họa ABC,1
ABC University,trường Đại học ABC,2
AECL,AECL,1
AMEP,AMEP,1
APEC,APEC,4
APEC,Doha,1
APEC,Việt Nam,1
APL Corporation,Công ty APL,1
APL Corporation,Jason Stone,1
ASEAN,ASEAN,12
ASEAN,Hàn Quốc,1
ASEAN,Pangestu,2
ASEAN National Tourism Organizations,ASEAN NTOs,1
ASEAN National Tourism Organizations,Cơ quan Du lịch quốc gia ASEAN,1
ASEM,Dũng,1
ASEM,Hội nghị thượng đỉnh ASEM 6,1
Aaron Brown,ABC News,1
Aaron Brown,ABC News Trụ sở chính Thế giới,1
Aaron Brown,Aaron Brown,3
Aaron Brown,New York,2
Abbas,Abbas,1
Abbas,Fatah,1
Aberdeen,Aberdeen,1
Aberdeen,đội Barcelona,1
Abraham Lincoln,Abraham Lincoln,1
Abu Dhabi,Abu Dhabi,1
Abu Dhabi,Nguyễn Tấn Dũng,1
Adam,A,1
Adam,Adam,1
Adam,Quỷ Sa,1
Adams County,Adams County,1
Adams County,Kentucky,1
Adidas,Adidas,2
Adidas,Bayer Hàn Quốc,1
Affrais Albright,Anh,1
Affrais Albright,Bộ ngoại giao Albright,1
Affrais Albright,Châu Âu,1
Affrais Albright,Hội đồng Bảo an thông,1
Affrais Albright,Mỹ,1
Affrais Albright,Pháp,1
Afghanistan,Afghanistan,2
Afghanistan,Cuba,1
Afghanistan,Iran,1
Afghanistan,Miến Điện,1
Afghanistan,Sudan,1
Afghanistan,Thổ Nhĩ Kỳ,1
Africa,Anh,1
Africa,CSCL Africa,1
Africa,CSCL Europe,1
Africa,Châu,2
Africa,Châu Phi,9
Africa,Herman,1
Africa,Laurent Yene,1
Africa,Mỹ,1
Africa,Nam Cực,1
Africa,Nam Mỹ,2
Africa,Phi châu,1
Africa,Pháp,1
Africa,Trung Phi,1
Africa,Văn phòng WHO,1
Africa,châu Phi,12
Africa,châu Phi là sông Nile,1
Africa,khu vực châu phi,1
Africa,nội địa Phi Châu,1
Agatha Christie,Agatha Christie,1
Agricultural Bank of China,ngân hàng Nông nghiệp Trung Quốc,1
Agricultural Bank of China,ngân hàng Trung Quốc,1
Agricultural Bank of China,ngân hàng Xây dựng Nhân dân Trung Quốc,1
Ahmed,Ahmed,1
Ahtisaari,Ahtisaari,2
Ahtisaari,Phần Lan,1
Ahtisaari,nước Cộng hoà Phần Lan,1
Aichi,quận Aichi,1
Air Canada,Air Canada,1
Air Canada,Montreal,1
Air Canada,Rome,1
Air Force Institute,Học viện Không quân Liên Xô,1
Air France,hãng hàng không Pháp,1
Al Gore,ABC News,1
Al Gore,Al Gore,1
Al Gore,Bill Clinton,1
Al Gore,Phó Tổng thống Al Gore,1
Alabama,Alabama,1
Alabama,Montgomery,1
Alabama,Selma,1
Alain,Alain,5
Alan,Alan,2
Alan Greenspan,Cục Dự trữ Liên bang Alan Greenspan,1
Alaska,Alaska,3
Alaska,Michigan,1
Alaska,rặng Rockies,1
Alauca,Alauca,1
Alauca,El Ocotal,1
Alauca,Quân,1
Albania,Anbani,1
Albert Hall,hòa nhạc Royal Albert,1
Alberta,Alberta,1
Albright,Jordan Hussein,1
Albright,Mỹ,1
Albright,Trung Đông,1
Albright,Vịnh,1
Albuquerque,ABC News,1
Albuquerque,Albuquerque,1
Albuquerque,Lisa Salters,1
Alderman Ian Luder,Khu tài chính Thành phố Luân Đôn,1
Alex,Alex,1
Alexander,Alexander,3
Alexander,Diogenes,1
Alexander,Ấn Độ,1
Alexandra Doan,Alexandra Đoàn,1
Alexandra Doan,New York,1
Alexis Herman,ABC News,1
Alexis Herman,Alexis Herman,3
Alexis Herman,Bộ Tư,1
Alexis Herman,Liên Hợp Quốc,1
Alexis Herman,Nhà Trắng,1
Alexis Herman,Tổng thống Clinton,1
Algeria,Algeria,1
Algeria,Mỹ,1
Algeria,Việt Nam,2
Alghazouli,Alghazouli,1
Alghazouli,Syria,1
Alice,Alice,3
Alice Featherstone,Alice Featherstone,1
Alison,Alison,4
Alison,Harry,1
Alison,Jane,1
Alison,Nick,1
Allen,Allen,3
Allen,Lineker,1
Allen Iverson,Allen Iverson,1
Almhchie,Almhchie,3
Almhchie,Hoa Kỳ,1
Almhchie,Syria,1
Almhchie,quận Bắc California,1
Alonso,Alonso,1
Alps,núi Anpơ,1
Amanda,Amanda,2
Amarillo,ABC,1
Amarillo,ABC News,1
Amarillo,Amarillo,2
Amarillo,Mike von Fremd,2
Amato,Amato,1
Amato,New York,1
Amazon,Amazon,2
Amazon,khu vực sông A,1
America,Ailen,1
America,Anh,2
America,Ba Lan,1
America,Broadway,1
America,Bush,1
America,Bắc Ireland,1
America,Bộ ngoại giao,1
America,Châu Mỹ,1
America,Châu Á khỏi Châu Mĩ,1
America,Châu Âu,1
America,Clinton,1
America,Columbus,3
America,Cortes,1
America,Cuba,1
America,Công giáo Ireland,1
America,Hoa Kỳ,1
America,Iran,1
