Label	Eng	Vie	count
LOCATION	LOCATION	LOCATION	638
LOCATION	LOCATION	ORGANIZATION	2181
LOCATION	LOCATION	PERSON	542
LOCATION	ORGANIZATION	LOCATION	138
LOCATION	ORGANIZATION	ORGANIZATION	419
LOCATION	ORGANIZATION	PERSON	87
LOCATION	PERSON	LOCATION	823
LOCATION	PERSON	ORGANIZATION	1296
LOCATION	PERSON	PERSON	1889
ORGANIZATION	LOCATION	LOCATION	128
ORGANIZATION	LOCATION	ORGANIZATION	1730
ORGANIZATION	LOCATION	PERSON	80
ORGANIZATION	ORGANIZATION	LOCATION	224
ORGANIZATION	ORGANIZATION	ORGANIZATION	7476
ORGANIZATION	ORGANIZATION	PERSON	268
ORGANIZATION	PERSON	LOCATION	192
ORGANIZATION	PERSON	ORGANIZATION	2420
ORGANIZATION	PERSON	PERSON	359
PERSON	LOCATION	ORGANIZATION	33
PERSON	LOCATION	PERSON	9
PERSON	ORGANIZATION	ORGANIZATION	10
PERSON	ORGANIZATION	PERSON	2
PERSON	PERSON	ORGANIZATION	1448
PERSON	PERSON	PERSON	2111
